1	Nicholas	841235
2	Thomas	519501
3	Lillian	398055
4	Robert	29724
5	Kathryn	799308
6	Jeffery	279267
7	Fred	107192
8	Patricia	26681
9	Otto	399721
10	Beau	761111
11	Juan	800798
12	Leone	579715
13	Edward	709727
14	Lloyd	998500
15	Carmel	436396
16	David	758790
17	Lisa	348856
18	Grace	954398
19	Donald	616122
20	Lorna	529828
21	Jill	36202
22	Brenda	836138
23	Tammy	181411
24	Juanita	737191
25	Maria	696000
26	Greg	546243
27	Katherine	768360
28	Gregory	323516
29	Vicki	176783
30	Josef	807952
31	Jonathan	902079
32	Timothy	360527
33	Tina	282359
34	Jason	898576
35	Ryan	588626
36	Jeffrey	58849
37	Willa	597687
38	Stephan	433481
39	Tasha	434555
40	Mary	566345
41	Tina	29333
42	Jesse	577509
43	Byron	837223
44	Patricia	989405
45	Robert	17501
46	Mary	792290
47	Amy	114807
48	Edward	72892
49	William	552998
50	Earl	679689
51	Ruby	337643
52	Lillian	24782
53	Janice	441365
54	Christopher	265770
55	Heriberto	452623
56	Charles	416615
57	James	168010
58	Marsha	711118
59	Pauline	231315
60	Shirley	680008
61	Gary	603818
62	Wilma	447007
63	Bernard	131788
64	Stuart	321269
65	Dave	325439
66	Ada	436388
67	Nancy	587954
68	Fred	228160
69	Carol	909934
70	Kevin	363783
71	Richard	706900
72	Erin	516267
73	Emanuel	409008
74	Rosa	18035
75	Yvonne	421868
76	Mary	210609
77	Gwen	590705
78	Steven	223377
79	Maureen	878393
80	Lavern	360552
81	Susie	558388
82	John	42362
83	Michael	174643
84	Christopher	348372
85	Mildred	356814
86	Mark	909555
87	Karen	577944
88	George	426349
89	Jason	826399
90	Adrian	357456
91	Eugene	819885
92	Jennifer	577004
93	Lawrence	998502
94	Cheryl	309909
95	Andrew	290647
96	Corey	867977
97	Mary	702977
98	Robert	120693
99	David	823669
100	Sandra	472811
101	Manuel	166665
102	Frank	396652
103	Anita	746178
104	Catherine	217699
105	Patricia	11016
106	Miriam	335807
107	Kelly	417915
108	John	332765
109	Dorothy	225646
110	Kristin	271671
111	Justin	322249
112	Thomas	85321
113	Maria	789878
114	Maria	602256
115	Latosha	409446
116	Patricia	195887
117	Kendra	607132
118	Brenda	105851
119	Thomas	21363
120	Timothy	281085
121	Ricky	22559
122	Mark	830665
123	Florence	904553
124	Robert	815525
125	Jennifer	995337
126	David	156828
127	Elmer	335317
128	Margaret	539343
129	Lisa	216783
130	Terry	757730
131	Dustin	860912
132	David	453653
133	John	903976
134	Thomas	67543
135	Rochelle	575951
136	Monica	892645
137	Mary	876914
138	Carol	509380
139	Glen	977943
140	Joella	19829
141	Marvin	608248
142	Wayne	145223
143	Kimiko	290365
144	Leslie	180537
145	Joseph	7840
146	Juan	525231
147	Luanne	670156
148	Joseph	519120
149	Gaynell	747473
150	Julie	640980
151	Alysha	230130
152	Laurence	800267
153	Sandra	803238
154	George	726198
155	Jewell	389665
156	Chad	772190
157	Lauren	897871
158	Jean	538916
159	Ruth	262768
160	Jessica	597182
161	Peter	412727
162	Rose	886534
163	Justin	42686
164	Reginald	658976
165	Christopher	957206
166	Monty	145884
167	Eric	969206
168	Kurtis	400926
169	Judy	954292
170	Sara	652636
171	Ninfa	124976
172	Lynn	428053
173	Antonio	291160
174	Kevin	586546
175	Reggie	554028
176	Alicia	32304
177	Christian	216641
178	Paul	568684
179	Daniel	614190
180	Abigail	468080
181	Terry	514650
182	Paige	806425
183	Nicholas	401873
184	Paul	113392
185	Michael	783564
186	Terry	706649
187	Robert	391881
188	Louise	710161
189	Monique	339411
190	Michael	752843
191	Doris	565492
192	Julie	766649
193	Dorothy	962396
194	Rose	583939
195	Danilo	666404
196	Tod	484002
197	Myrtis	746721
198	Irma	471217
199	Ronald	3690
200	Suzanne	424937
201	Marisa	612817
202	Peter	781994
203	Alan	680258
204	Brittany	426769
205	Todd	982639
206	Marianne	887376
207	Darrell	854931
208	Brian	277435
209	Simone	570684
210	Helen	873437
211	Gladys	489792
212	Daniel	103421
213	Elizabeth	70253
214	Mary	531799
215	Marvin	421447
216	Erica	219036
217	Joseph	350167
218	Elizabeth	733159
219	Diana	584739
220	David	684790
221	Evelyn	775783
222	Matthew	419132
223	Dennis	272128
224	Penny	271337
225	Kelly	32017
226	Frances	452739
227	Zachary	199125
228	Martin	173675
229	Michele	978251
230	Aaron	274710
231	Shannon	145353
232	Grant	462087
233	Janet	420223
234	Michael	216205
235	Elizabeth	238676
236	Ann	973714
237	Carey	47165
238	Brett	24414
239	Rodney	518479
240	Heather	878568
241	Dorothy	726282
242	Robert	419121
243	Peter	396250
244	Wilmer	247187
245	Norma	608103
246	Deborah	749663
247	Diane	622454
248	Myron	82682
249	James	5481
250	Frances	401759
251	Hanna	419355
252	Jeremiah	795408
253	Glen	31936
254	Matthew	918874
255	Ralph	266515
256	Robert	683832
257	Angelique	37192
258	Joe	135187
259	Darnell	818721
260	Frank	199345
261	Harold	136641
262	Nellie	886699
263	Danny	408632
264	Melanie	272464
265	Thomas	616484
266	Brian	634758
267	Ed	573493
268	Carrie	746217
269	Chantel	73488
270	Faye	756144
271	Thomas	101258
272	John	213224
273	Rosario	55376
274	Devin	537751
275	Carmen	104104
276	Patricia	557281
277	Eric	134430
278	Candace	942420
279	Mary	549988
280	Maria	839273
281	Maria	35854
282	Barbara	273685
283	Sherri	272944
284	Leigh	897434
285	Susan	882257
286	Douglas	215389
287	Shayla	534060
288	Nada	612515
289	Margaret	684274
290	Thelma	585782
291	Ira	872013
292	Faye	209688
293	Kelly	339969
294	Jose	132505
295	John	854535
296	Irene	334285
297	Pamela	785107
298	Joe	155982
299	Jacquline	341387
300	Valerie	473761
301	Peggy	957229
302	Carmelita	399012
303	Orville	840294
304	Michael	549151
305	Danielle	264155
306	Chad	782918
307	Jean	988087
308	Kathy	487138
309	Ellen	175948
310	William	720625
311	Ralph	950855
312	David	431078
313	Rafael	572216
314	Cassandra	214270
315	Elizabeth	598963
316	Ken	832791
317	Shawn	181788
318	Mary	385985
319	Gwendolyn	297535
320	Neal	627130
321	Jodie	936161
322	Jeffrey	708418
323	Esther	990626
